Sample_ID,Sample_name,Original_sample_ID,Sample_or_Control,Sample_type,Library_method,Life_condition,Health_phenotype,Weight_g,Length_cm,Kfactor,Gender,Stomach_content,Tapeworm,Nematode,Location,quant_reading,LetSea_Tank
NXT065-CP-H14-SSLR,H14_SSLR,910,True Sample,Gut_content,SSLR,Farmed,Healthy,207.8,25.9,1.196041506,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-S14-SSLR,S14_SSLR,803,True Sample,Gut_content,SSLR,Farmed,Sick,196.4,26.3,1.079628245,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C14-SSLR,C14_SSLR,11,True Sample,Gut_content,SSLR,Wild,,3290,64,1.255,M,Empty,No,No,Månes_Tosken,,
NXT065-CP-M14-SSLR,M14_SSLR,11,True Sample,Gut_mucus,SSLR,Wild,,3290,64,1.255,M,Empty,No,No,Månes_Tosken,,
NXT065-CP-H15-SSLR,H15_SSLR,1001,True Sample,Gut_content,SSLR,Farmed,Healthy,245,27,1.244728954,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-S15-SSLR,S15_SSLR,806,True Sample,Gut_content,SSLR,Farmed,Sick,157.8,24.4,1.086269335,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C15-SSLR,C15_SSLR,13,True Sample,Gut_content,SSLR,Wild,,3092,67,1.028,F,Fish,Yes,No,Månes_Tosken,,
NXT065-CP-M15-SSLR,M15_SSLR,13,True Sample,Gut_mucus,SSLR,Wild,,3092,67,1.028,F,Fish,Yes,No,Månes_Tosken,,
NXT065-CP-S16-SSLR,S16_SSLR,1004,True Sample,Gut_content,SSLR,Farmed,Sick,211.4,26,1.202776513,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H16-SSLR,H16_SSLR,1003,True Sample,Gut_content,SSLR,Farmed,Healthy,183,25,1.1712,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C16-SSLR,C16_SSLR,23,True Sample,Gut_content,SSLR,Wild,,3274,68.5,1.019,F,Fish,No,Yes,Månes_Tosken,,
NXT065-CP-M16-SSLR,M16_SSLR,23,True Sample,Gut_mucus,SSLR,Wild,,3274,68.5,1.019,F,Fish,No,Yes,Månes_Tosken,,
NXT065-CP-S17-SSLR,S17_SSLR,1005,True Sample,Gut_content,SSLR,Farmed,Sick,189.6,24.8,1.243034809,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H17-SSLR,H17_SSLR,1008,True Sample,Gut_content,SSLR,Farmed,Healthy,199.6,25.6,1.18970871,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C17-SSLR,C17_SSLR,4,True Sample,Gut_content,SSLR,Wild,,2520,59,1.227,M,Fish,No,No,Nordkapp,,
NXT065-CP-M17-SSLR,M17_SSLR,4,True Sample,Gut_mucus,SSLR,Wild,,2520,59,1.227,M,Fish,No,No,Nordkapp,,
NXT065-CP-S18-SSLR,S18_SSLR,1010,True Sample,Gut_content,SSLR,Farmed,Sick,214.4,25.7,1.263064157,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H18-SSLR,H18_SSLR,1101,True Sample,Gut_content,SSLR,Farmed,Healthy,205,25.5,1.236326903,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C18-SSLR,C18_SSLR,14,True Sample,Gut_content,SSLR,Wild,,3022,65.5,1.075,M,Empty,No,No,Nordkapp,,
NXT065-CP-M18-SSLR,M18_SSLR,14,True Sample,Gut_mucus,SSLR,Wild,,3022,65.5,1.075,M,Empty,No,No,Nordkapp,,
NXT065-CP-S19-SSLR,S19_SSLR,1104,True Sample,Gut_content,SSLR,Farmed,Sick,215.8,26,1.227810651,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H19-SSLR,H19_SSLR,1102,True Sample,Gut_content,SSLR,Farmed,Healthy,239.2,26.7,1.256687778,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C19-SSLR,C19_SSLR,15,True Sample,Gut_content,SSLR,Wild,,2637,62,1.106,M,Fish+Krill,Yes,No,Nordkapp,,
NXT065-CP-M19-SSLR,M19_SSLR,15,True Sample,Gut_mucus,SSLR,Wild,,2637,62,1.106,M,Fish+Krill,Yes,No,Nordkapp,,
NXT065-CP-S20-SSLR,S20_SSLR,1106,True Sample,Gut_content,SSLR,Farmed,Sick,182.4,25.5,1.1000294,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-H20-SSLR,H20_SSLR,1110,True Sample,Gut_content,SSLR,Farmed,Healthy,211.2,26.3,1.16098516,,,,,Seawater_flow_landbased_facility,,
NXT065-CP-C20-SSLR,C20_SSLR,20,True Sample,Gut_content,SSLR,Wild,,2986,66.5,1.015,M,Krill,No,No,Nordkapp,,
NXT065-CP-M20-SSLR,M20_SSLR,20,True Sample,Gut_mucus,SSLR,Wild,,2986,66.5,1.015,M,Krill,No,No,Nordkapp,,
NXT065-CP-C01-MDA,C01,6,True Sample,Gut_content,MDA,Wild,,3056,64,1.166,M,Fish,No,No,Alta,0.52974,
NXT065-CP-C02-MDA,C02,10,True Sample,Gut_content,MDA,Wild,,4216,73,1.084,M,Fish,Yes,No,Alta,11.745658,
NXT065-CP-C03-MDA,C03,28,True Sample,Gut_content,MDA,Wild,,3044,67,1.012,M,Fish,Yes,No,Alta,12.978212,
NXT065-CP-C04-MDA,C04,32,True Sample,Gut_content,MDA,Wild,,3022,72,0.81,F,Empty,No,Yes,Alta,38.742272,
NXT065-CP-C05-MDA,C05,34,True Sample,Gut_content,MDA,Wild,,4028,75,0.955,M,Empty,Yes,No,Alta,12.371614,
NXT065-CP-C06-MDA,C06,12,True Sample,Gut_content,MDA,Wild,,3118,66,1.085,F,Fish,No,Yes,Andøya,2.732527,
NXT065-CP-C07-MDA,C07,17,True Sample,Gut_content,MDA,Wild,,3446,76,0.785,F,Empty,Yes,No,Andøya,0.459723,
NXT065-CP-C08-MDA,C08,26,True Sample,Gut_content,MDA,Wild,,3716,71,1.038,F,Empty,No,Yes,Andøya,2.66735,
NXT065-CP-C09-MDA,C09,30,True Sample,Gut_content,MDA,Wild,,3390,68,1.078,M,Empty,No,No,Andøya,0.305815,
NXT065-CP-C10-MDA,C10,36,True Sample,Gut_content,MDA,Wild,,3628,67,1.206,M,Empty,No,No,Andøya,25.916801,
NXT065-CP-C11-MDA,C11,18,True Sample,Gut_content,MDA,Wild,,3144,65,1.145,M,Fish,Yes,NA,Bugøynes,0.084601,
NXT065-CP-C12-MDA,C12,35,True Sample,Gut_content,MDA,Wild,,3312,69,1.008,M,Krill,Yes,NA,Bugøynes,0.451334,
NXT065-CP-C13-MDA,C13,7,True Sample,Gut_content,MDA,Wild,,3050,65,1.111,M,Fish,Yes,No,Månes_Tosken,2.583781,
NXT065-CP-C14-MDA,C14,11,True Sample,Gut_content,MDA,Wild,,3290,64,1.255,M,Empty,No,No,Månes_Tosken,1.852316,
NXT065-CP-C15-MDA,C15,13,True Sample,Gut_content,MDA,Wild,,3092,67,1.028,F,Fish,Yes,No,Månes_Tosken,0.893698,
NXT065-CP-C16-MDA,C16,23,True Sample,Gut_content,MDA,Wild,,3274,68.5,1.019,F,Fish,No,Yes,Månes_Tosken,0.575557,
NXT065-CP-C17-MDA,C17,4,True Sample,Gut_content,MDA,Wild,,2520,59,1.227,M,Fish,No,No,Nordkapp,0.099379,
NXT065-CP-C18-MDA,C18,14,True Sample,Gut_content,MDA,Wild,,3022,65.5,1.075,M,Empty,No,No,Nordkapp,2.913215,
NXT065-CP-C19-MDA,C19,15,True Sample,Gut_content,MDA,Wild,,2637,62,1.106,M,Fish+Krill,Yes,No,Nordkapp,0.139001,
NXT065-CP-C20-MDA,C20,20,True Sample,Gut_content,MDA,Wild,,2986,66.5,1.015,M,Krill,No,No,Nordkapp,0.533935,
NXT065-CP-H01-MDA,H01,104,True Sample,Gut_content,MDA,Farmed,Healthy,223.6,25.7,1.317262806,,,,,Seawater_flow_landbased_facility,7.938292,T18
NXT065-CP-H02-MDA,H02,304,True Sample,Gut_content,MDA,Farmed,Healthy,184.8,25.5,1.114503472,,,,,Seawater_flow_landbased_facility,14.908526,T16
NXT065-CP-H03-MDA,H03,310,True Sample,Gut_content,MDA,Farmed,Healthy,199.4,26.4,1.08371073,,,,,Seawater_flow_landbased_facility,14.432251,T16
NXT065-CP-H04-MDA,H04,404,True Sample,Gut_content,MDA,Farmed,Healthy,180.4,24.7,1.197142016,,,,,Seawater_flow_landbased_facility,17.448659,T15
NXT065-CP-H05-MDA,H05,501,True Sample,Gut_content,MDA,Farmed,Healthy,182.8,24.4,1.258365238,,,,,Seawater_flow_landbased_facility,16.102153,T14
NXT065-CP-H06-MDA,H06,504,True Sample,Gut_content,MDA,Farmed,Healthy,208.4,25.8,1.213496692,,,,,Seawater_flow_landbased_facility,12.968146,T14
NXT065-CP-H07-MDA,H07,604,True Sample,Gut_content,MDA,Farmed,Healthy,197.2,25.4,1.203388234,,,,,Seawater_flow_landbased_facility,31.272925,T13
NXT065-CP-H08-MDA,H08,702,True Sample,Gut_content,MDA,Farmed,Healthy,230.8,26.8,1.199033791,,,,,Seawater_flow_landbased_facility,27.633342,T12
NXT065-CP-H09-MDA,H09,808,True Sample,Gut_content,MDA,Farmed,Healthy,177.4,24.4,1.221192523,,,,,Seawater_flow_landbased_facility,12.215514,T11
NXT065-CP-H10-MDA,H10,809,True Sample,Gut_content,MDA,Farmed,Healthy,224.4,27,1.140070111,,,,,Seawater_flow_landbased_facility,38.739233,T11
NXT065-CP-H11-MDA,H11,810,True Sample,Gut_content,MDA,Farmed,Healthy,197.8,25.2,1.236017629,,,,,Seawater_flow_landbased_facility,8.464113,T11
NXT065-CP-H12-MDA,H12,903,True Sample,Gut_content,MDA,Farmed,Healthy,215.4,26.7,1.131649445,,,,,Seawater_flow_landbased_facility,34.841028,T10
NXT065-CP-H13-MDA,H13,908,True Sample,Gut_content,MDA,Farmed,Healthy,194.6,25.2,1.216021388,,,,,Seawater_flow_landbased_facility,1.084712,T10
NXT065-CP-H14-MDA,H14,910,True Sample,Gut_content,MDA,Farmed,Healthy,207.8,25.9,1.196041506,,,,,Seawater_flow_landbased_facility,47.289672,T10
NXT065-CP-H15-MDA,H15,1001,True Sample,Gut_content,MDA,Farmed,Healthy,245,27,1.244728954,,,,,Seawater_flow_landbased_facility,5.757124,T09
NXT065-CP-H16-MDA,H16,1003,True Sample,Gut_content,MDA,Farmed,Healthy,183,25,1.1712,,,,,Seawater_flow_landbased_facility,42.064224,T09
NXT065-CP-H17-MDA,H17,1008,True Sample,Gut_content,MDA,Farmed,Healthy,199.6,25.6,1.18970871,,,,,Seawater_flow_landbased_facility,43.40736,T09
NXT065-CP-H18-MDA,H18,1101,True Sample,Gut_content,MDA,Farmed,Healthy,205,25.5,1.236326903,,,,,Seawater_flow_landbased_facility,25.649267,T08
NXT065-CP-H19-MDA,H19,1102,True Sample,Gut_content,MDA,Farmed,Healthy,239.2,26.7,1.256687778,,,,,Seawater_flow_landbased_facility,38.152728,T08
NXT065-CP-H20-MDA,H20,1110,True Sample,Gut_content,MDA,Farmed,Healthy,211.2,26.3,1.16098516,,,,,Seawater_flow_landbased_facility,34.430911,T08
NXT065-CP-M01-MDA,M01,6,True Sample,Gut_mucus,MDA,Wild,,3056,64,1.166,M,Fish,No,No,Alta,7.054209,
NXT065-CP-M02-MDA,M02,10,True Sample,Gut_mucus,MDA,Wild,,4216,73,1.084,M,Fish,Yes,No,Alta,8.351295,
NXT065-CP-M03-MDA,M03,28,True Sample,Gut_mucus,MDA,Wild,,3044,67,1.012,M,Fish,Yes,No,Alta,16.68878,
NXT065-CP-M04-MDA,M04,32,True Sample,Gut_mucus,MDA,Wild,,3022,72,0.81,F,Empty,No,Yes,Alta,32.390575,
NXT065-CP-M05-MDA,M05,34,True Sample,Gut_mucus,MDA,Wild,,4028,75,0.955,M,Empty,Yes,No,Alta,6.521823,
NXT065-CP-M06-MDA,M06,12,True Sample,Gut_mucus,MDA,Wild,,3118,66,1.085,F,Fish,No,Yes,Andøya,24.161541,
NXT065-CP-M07-MDA,M07,17,True Sample,Gut_mucus,MDA,Wild,,3446,76,0.785,F,Empty,Yes,No,Andøya,1.131497,
NXT065-CP-M08-MDA,M08,26,True Sample,Gut_mucus,MDA,Wild,,3716,71,1.038,F,Empty,No,Yes,Andøya,1.828116,
NXT065-CP-M09-MDA,M09,30,True Sample,Gut_mucus,MDA,Wild,,3390,68,1.078,M,Empty,No,No,Andøya,13,
NXT065-CP-M10-MDA,M10,36,True Sample,Gut_mucus,MDA,Wild,,3628,67,1.206,M,Empty,No,No,Andøya,6.399373,
NXT065-CP-M11-MDA,M11,18,True Sample,Gut_mucus,MDA,Wild,,3144,65,1.145,M,Fish,Yes,NA,Bugøynes,0.076051,
NXT065-CP-M12-MDA,M12,35,True Sample,Gut_mucus,MDA,Wild,,3312,69,1.008,M,Krill,Yes,NA,Bugøynes,0.237734,
NXT065-CP-M13-MDA,M13,7,True Sample,Gut_mucus,MDA,Wild,,3050,65,1.111,M,Fish,Yes,No,Månes_Tosken,0.055045,
NXT065-CP-M14-MDA,M14,11,True Sample,Gut_mucus,MDA,Wild,,3290,64,1.255,M,Empty,No,No,Månes_Tosken,3.417853,
NXT065-CP-M15-MDA,M15,13,True Sample,Gut_mucus,MDA,Wild,,3092,67,1.028,F,Fish,Yes,No,Månes_Tosken,4.695579,
NXT065-CP-M16-MDA,M16,23,True Sample,Gut_mucus,MDA,Wild,,3274,68.5,1.019,F,Fish,No,Yes,Månes_Tosken,1.361875,
NXT065-CP-M17-MDA,M17,4,True Sample,Gut_mucus,MDA,Wild,,2520,59,1.227,M,Fish,No,No,Nordkapp,15.42396,
NXT065-CP-M18-MDA,M18,14,True Sample,Gut_mucus,MDA,Wild,,3022,65.5,1.075,M,Empty,No,No,Nordkapp,11.100342,
NXT065-CP-M19-MDA,M19,15,True Sample,Gut_mucus,MDA,Wild,,2637,62,1.106,M,Fish+Krill,Yes,No,Nordkapp,10,
NXT065-CP-M20-MDA,M20,20,True Sample,Gut_mucus,MDA,Wild,,2986,66.5,1.015,M,Krill,No,No,Nordkapp,1.038249,
NXT065-CP-NCP-SSLR,NCTR_PCR_SSLR,PCR ctrl,Control Sample,Negative_control,SSLR,Negative control,Negative control,,,,,,,,,,Control Sample
NXT065-CP-NC1-SSLR,NCTR1_SSLR,CTRL1,Control Sample,Negative_control,SSLR,Negative control,Negative control,,,,,,,,,,Control Sample
NXT065-CP-NC2-SSLR,NCTR2_SSLR,CRTL2,Control Sample,Negative_control,SSLR,Negative control,Negative control,,,,,,,,,,Control Sample
NXT065-CP-NC3-SSLR,NCTR3_SSLR,CTRL3,Control Sample,Negative_control,SSLR,Negative control,Negative control,,,,,,,,,,Control Sample
NXT065-CP-NCT1-MDA,Negative_control1,CTRL1,Control Sample,Negative_control,MDA,Negative control,Negative control,,,,,,,,,0.016875,Control Sample
NXT065-CP-NCT2-MDA,Negative_control2,CTRL2,Control Sample,Negative_control,MDA,Negative control,Negative control,,,,,,,,,0.01965,Control Sample
NXT065-CP-NCT3-MDA,Negative_control3,CTRL3,Control Sample,Negative_control,MDA,Negative control,Negative control,,,,,,,,,0.011487,Control Sample
NXT065-CP-MDACT-MDA,Positive_control_MDA,MDA DNA ctrl,Control Sample,Negative_control,MDA,Negative control,Positive control,,,,,,,,,18.35417,Control Sample
NXT065-CP-S01-MDA,S01,102,True Sample,Gut_content,MDA,Farmed,Sick,146.6,25,0.93824,,,,,Seawater_flow_landbased_facility,10.145775,T18
NXT065-CP-S02-MDA,S02,108,Control Sample,Gut_content,MDA,Farmed,Sick,171.2,25.1,1.082636328,,,,,Seawater_flow_landbased_facility,0.055884,T18
NXT065-CP-S03-MDA,S03,203,True Sample,Gut_content,MDA,Farmed,Sick,152.8,24,1.105324074,,,,,Seawater_flow_landbased_facility,7.505683,T17
NXT065-CP-S04-MDA,S04,502,True Sample,Gut_content,MDA,Farmed,Sick,180,25,1.152,,,,,Seawater_flow_landbased_facility,10.68085,T14
NXT065-CP-S05-MDA,S05,505,True Sample,Gut_content,MDA,Farmed,Sick,223.4,26.7,1.173679137,,,,,Seawater_flow_landbased_facility,21.061077,T14
NXT065-CP-S06-MDA,S06,507,True Sample,Gut_content,MDA,Farmed,Sick,224.2,26.2,1.246613238,,,,,Seawater_flow_landbased_facility,15.855196,T14
NXT065-CP-S07-MDA,S07,509,True Sample,Gut_content,MDA,Farmed,Sick,197.2,26.4,1.071754042,,,,,Seawater_flow_landbased_facility,22.065865,T14
NXT065-CP-S08-MDA,S08,602,True Sample,Gut_content,MDA,Farmed,Sick,172,24.8,1.127647612,,,,,Seawater_flow_landbased_facility,7.78792,T13
NXT065-CP-S09-MDA,S09,608,True Sample,Gut_content,MDA,Farmed,Sick,204,26.4,1.108711078,,,,,Seawater_flow_landbased_facility,19.671803,T13
NXT065-CP-S10-MDA,S10,609,True Sample,Gut_content,MDA,Farmed,Sick,219.8,26.5,1.181109238,,,,,Seawater_flow_landbased_facility,21.947956,T13
NXT065-CP-S11-MDA,S11,703,True Sample,Gut_content,MDA,Farmed,Sick,210.8,26,1.199362767,,,,,Seawater_flow_landbased_facility,14.073574,T12
NXT065-CP-S12-MDA,S12,706,True Sample,Gut_content,MDA,Farmed,Sick,224,26.5,1.203678204,,,,,Seawater_flow_landbased_facility,45.063331,T12
NXT065-CP-S13-MDA,S13,710,True Sample,Gut_content,MDA,Farmed,Sick,190.4,25.9,1.095891736,,,,,Seawater_flow_landbased_facility,20.0973,T12
NXT065-CP-S14-MDA,S14,803,True Sample,Gut_content,MDA,Farmed,Sick,196.4,26.3,1.079628245,,,,,Seawater_flow_landbased_facility,12.791748,T11
NXT065-CP-S15-MDA,S15,806,True Sample,Gut_content,MDA,Farmed,Sick,157.8,24.4,1.086269335,,,,,Seawater_flow_landbased_facility,12.656509,T11
NXT065-CP-S16-MDA,S16,1004,True Sample,Gut_content,MDA,Farmed,Sick,211.4,26,1.202776513,,,,,Seawater_flow_landbased_facility,24.618847,T09
NXT065-CP-S17-MDA,S17,1005,True Sample,Gut_content,MDA,Farmed,Sick,189.6,24.8,1.243034809,,,,,Seawater_flow_landbased_facility,9.422543,T09
NXT065-CP-S18-MDA,S18,1010,True Sample,Gut_content,MDA,Farmed,Sick,214.4,25.7,1.263064157,,,,,Seawater_flow_landbased_facility,37.342746,T09
NXT065-CP-S19-MDA,S19,1104,True Sample,Gut_content,MDA,Farmed,Sick,215.8,26,1.227810651,,,,,Seawater_flow_landbased_facility,17.928804,T08
NXT065-CP-S20-MDA,S20,1106,True Sample,Gut_content,MDA,Farmed,Sick,182.4,25.5,1.1000294,,,,,Seawater_flow_landbased_facility,10.016417,T08
